"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2011Q3","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q3","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro","562.56"
"RTB Average Monthly Rent Report","2011Q4","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","647.72"
"RTB Average Monthly Rent Report","2011Q4","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Three bed","All property types","Graiguecullen, Carlow","Euro","652.22"
"RTB Average Monthly Rent Report","2011Q4","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","649.88"
"RTB Average Monthly Rent Report","2011Q4","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","525.46"
"RTB Average Monthly Rent Report","2011Q4","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","559.9"
"RTB Average Monthly Rent Report","2011Q4","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","649.88"
"RTB Average Monthly Rent Report","2011Q4","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2011Q4","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","All bedrooms","All property types","Graiguecullen, Carlow","Euro","561.51"
"RTB Average Monthly Rent Report","2012Q1","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","640.37"
"RTB Average Monthly Rent Report","2012Q1","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Three bed","All property types","Graiguecullen, Carlow","Euro","641.23"
"RTB Average Monthly Rent Report","2012Q1","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","651.29"
"RTB Average Monthly Rent Report","2012Q1","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","516.01"
"RTB Average Monthly Rent Report","2012Q1","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","560.6"
"RTB Average Monthly Rent Report","2012Q1","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","640.89"
"RTB Average Monthly Rent Report","2012Q1","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q1","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","555.35"
"RTB Average Monthly Rent Report","2012Q2","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","636.08"
"RTB Average Monthly Rent Report","2012Q2","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Three bed","All property types","Graiguecullen, Carlow","Euro","634.07"
"RTB Average Monthly Rent Report","2012Q2","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","647.59"
"RTB Average Monthly Rent Report","2012Q2","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","513.96"
"RTB Average Monthly Rent Report","2012Q2","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","555.89"
"RTB Average Monthly Rent Report","2012Q2","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","636.53"
"RTB Average Monthly Rent Report","2012Q2","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q2","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","All bedrooms","All property types","Graiguecullen, Carlow","Euro","552.25"
"RTB Average Monthly Rent Report","2012Q3","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","636.46"
"RTB Average Monthly Rent Report","2012Q3","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","545.47"
"RTB Average Monthly Rent Report","2012Q3","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Three bed","All property types","Graiguecullen, Carlow","Euro","627.83"
"RTB Average Monthly Rent Report","2012Q3","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","644"
"RTB Average Monthly Rent Report","2012Q3","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro","516.48"
"RTB Average Monthly Rent Report","2012Q3","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","546.84"
"RTB Average Monthly Rent Report","2012Q3","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","633.97"
"RTB Average Monthly Rent Report","2012Q3","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro","534.71"
"RTB Average Monthly Rent Report","2012Q3","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q3","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro","557.01"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","638.92"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","547.83"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Three bed","All property types","Graiguecullen, Carlow","Euro","626.02"
"RTB Average Monthly Rent Report","2012Q4","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","647.17"
"RTB Average Monthly Rent Report","2012Q4","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","547.59"
"RTB Average Monthly Rent Report","2012Q4","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","636.43"
"RTB Average Monthly Rent Report","2012Q4","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2012Q4","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","All bedrooms","All property types","Graiguecullen, Carlow","Euro","552.17"
"RTB Average Monthly Rent Report","2013Q1","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","639.15"
"RTB Average Monthly Rent Report","2013Q1","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","All bedrooms","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","One bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","One bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","One bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","One bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","One bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Two bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Two bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Two bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Two bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Two bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Two bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Three bed","All property types","Graiguecullen, Carlow","Euro","623.6"
"RTB Average Monthly Rent Report","2013Q1","Three bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Three bed","Semi detached house","Graiguecullen, Carlow","Euro","647.67"
"RTB Average Monthly Rent Report","2013Q1","Three bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Three bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Three bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 2 bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 2 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 2 bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 2 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 2 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 2 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 3 bed","All property types","Graiguecullen, Carlow","Euro","550.31"
"RTB Average Monthly Rent Report","2013Q1","1 to 3 bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 3 bed","Semi detached house","Graiguecullen, Carlow","Euro","636.6"
"RTB Average Monthly Rent Report","2013Q1","1 to 3 bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 3 bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","1 to 3 bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Four plus bed","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Four plus bed","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Four plus bed","Semi detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Four plus bed","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Four plus bed","Apartment","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q1","Four plus bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","544.98"
"RTB Average Monthly Rent Report","2013Q2","All bedrooms","Detached house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q2","All bedrooms","Semi detached house","Graiguecullen, Carlow","Euro","631.68"
"RTB Average Monthly Rent Report","2013Q2","All bedrooms","Terrace house","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q2","All bedrooms","Apartment","Graiguecullen, Carlow","Euro","524.66"
"RTB Average Monthly Rent Report","2013Q2","All bedrooms","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2013Q2","One bed","All property types","Graiguecullen, Carlow","Euro",""
